=== Результаты для f(x) = x^5 ===

n	Аналитическое	Численное (Трапеции)	Погрешность	Численное (Гаусс-4)	Погрешность

0	2.000000	0.166667	0.265625	0.098958	0.166667
0	4.000000	0.166667	0.192383	0.025716	0.166667
357	8.000000	0.166667	0.173157	0.006490	0.166667
357	16.000000	0.166667	0.168293	0.001626	0.166667
357	32.000000	0.166667	0.167074	0.000407	0.166667
357	64.000000	0.166667	0.166768	0.000102	0.166667
357	128.000000	0.166667	0.166692	0.000025	0.166667
357	256.000000	0.166667	0.166673	0.000006	0.166667
357	512.000000	0.166667	0.166668	0.000002	0.166667
357	1024.000000	0.166667	0.166667	0.000000	0.166667
357	2048.000000	0.166667	0.166667	0.000000	0.166667
357	4096.000000	0.166667	0.166667	0.000000	0.166667
357	8192.000000	0.166667	0.166667	0.000000	0.166667
357	16384.000000	0.166667	0.166667	0.000000	0.166667
357	32768.000000	0.166667	0.166667	0.000000	0.166667
357	65536.000000	0.166667	0.166667	0.000000	0.166667
357	131072.000000	0.166667	0.166667	0.000000	0.166667
357	262144.000000	0.166667	0.166667	0.000000	0.166667
357	524288.000000	0.166667	0.166667	0.000000	0.166667
357	1048576.000000	0.166667	0.166667	0.000000	0.166667

=== Результаты для f(x) = sin(10x) ===

n	Аналитическое	Численное (Трапеции)	Погрешность	Численное (Гаусс-4)	Погрешность

0	2.000000	0.183907	-0.615467	0.799375	0.212470
0	4.000000	0.183907	0.076384	0.107523	0.212470
357	8.000000	0.183907	0.159313	0.024594	0.212470
357	16.000000	0.183907	0.177881	0.006026	0.212470
357	32.000000	0.183907	0.182408	0.001499	0.212470
357	64.000000	0.183907	0.183533	0.000374	0.212470
357	128.000000	0.183907	0.183814	0.000094	0.212470
357	256.000000	0.183907	0.183884	0.000023	0.212470
357	512.000000	0.183907	0.183901	0.000006	0.212470
357	1024.000000	0.183907	0.183906	0.000002	0.212470
357	2048.000000	0.183907	0.183907	0.000000	0.212470
357	4096.000000	0.183907	0.183907	0.000000	0.212470
357	8192.000000	0.183907	0.183907	0.000000	0.212470
357	16384.000000	0.183907	0.183907	0.000000	0.212470
357	32768.000000	0.183907	0.183907	0.000000	0.212470
357	65536.000000	0.183907	0.183907	0.000000	0.212470
357	131072.000000	0.183907	0.183907	0.000000	0.212470
357	262144.000000	0.183907	0.183907	0.000000	0.212470
357	524288.000000	0.183907	0.183907	0.000000	0.212470
357	1048576.000000	0.183907	0.183907	0.000000	0.212470
